Transliterated_Comment,final_label,gpt_labelled
esa agr koi ldka kr de fir dekho mahila ayog falana ayog pta nhi kon kon piche pd jaega pensive_face pensive_face,non-sarcastic,sarcastic
Wow kya baat hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
कहा मर गए वो नीले कबूतर जो हमेशा कहते रहते है देश संविधान से ही चलेगा अब कहा गया तुम्हारा संविधान! चंद्रशेखर के पाले हुए नीले कबुतर face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
"sorry, mujhe laga rat ke 11.30 baje hai.",non_sarcastic,non-sarcastic
nountain dew der ki ma ki c**d moai moai .,non-sarcastic,sarcastic
pagal hai kiya be yhe kiya bol raha hai tu,sarcastic,sarcastic
gavaara to gavaara hee hote hain jahaan bootee dikhee vaheen para dau.denge,sarcastic,sarcastic
pichle baar bhi yahi kaha gaya tha,sarcastic,sarcastic
kaayadyaalaa phaatyaavara maarataata sagale.. kaaya chaalalaya. crying_face,non-sarcastic,sarcastic
Agar main uncle ji ke jagah pe hota to is chutiye chhapri ki amma behan pe aa jaata face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Jiske malik sirf bulla honge red_heart fire,non-sarcastic,sarcastic
thobade bai lakva maril tujhya tondala,sarcastic,sarcastic
|| jaya shree raama || triangular_flag triangular_flag,non-sarcastic,non-sarcastic
aabe tu chal aabe tu chal,non-sarcastic,non-sarcastic
Mulle nhi dikh rhe khi bhi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Le Paisa congres party se khatakhat khatakhat face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Face reveal karo phele rolling_on_the_floor_laughing grinning_face_with_sweat,non-sarcastic,sarcastic
aab bhi time h bjp ko lao desh dharm bachao verna yahi hoga agai humare sath,non-sarcastic,non-sarcastic
When u take the value of g=0.98 instead of 9.8,non-sarcastic,sarcastic
gravity kaha gayi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
1 lakh rupiya cross_mark lod* lelo mera check_mark_button,sarcastic,sarcastic
jab sarkar nahin bani to paisa kahan se mil jaega kahan se dega rahul gandhi,sarcastic,sarcastic
main socha rahaa hu kaasha hamaare mohalle me hotaa,non-sarcastic,non-sarcastic
Indian flag hai enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
bjp hi hata sakti h ab yeh waqf board jase 370 hataya please modi ji ap hi hamara nyay dila sakte ho,non-sarcastic,non-sarcastic
ayodhyaa vaale tuma hindoo ke naama para kalanka ho,sarcastic,sarcastic
Aaj Tak to sach mein BJP ke sath hai ohh frowning_face_with_open_mouth,non-sarcastic,sarcastic
gali de kr bhi bar bar gali dene wale button check_mark_button,sarcastic,sarcastic
Gopi bahu in corner loudly_crying_face loudly_crying_face,non-sarcastic,sarcastic
Jay Jay Shree Ram red_heart folded_hands,non-sarcastic,non-sarcastic
Abe chitiya 1 mahina to hone de be sabre face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
किती थोर विचारसरणी आहे. तोंड उघडताच कळते . face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
"Soon or later they'll say, entire India belongs to Wat the fuq board.. Stop it!! Enough is enough",non-sarcastic,sarcastic
Chapplo ki kami hai didi ko face_with_tears_of_joy,sarcastic,sarcastic
"shivasenaa khatma karanyaachan ekameva kaama,andhaaraana karoona taakala he pahilyaa vargaatalyaa mulaalaa soodhdaa kalala pana uddhavaa naa kaa naahee kalala,",non-sarcastic,sarcastic
To bhai meri aakhri echa he aap Vha se ye mere liye julla lete aana face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy 7572838174,non-sarcastic,sarcastic
hi samor ali ka hicha fodyan nay gandin toch ban ghala,non-sarcastic,sarcastic
ghar ki safai bhot jruri h or ye gandagee khud khe rhi hai smirking_face,sarcastic,sarcastic
nade enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
"plan bada tha, execution zero",sarcastic,sarcastic
ohohoohooo.. is level pe ane ke liye is sal ke end tak rukna hoga mujhe,non_sarcastic,sarcastic
Hindu dharm se sabhi ko sikna chaiye jay shree Ram Jai hind saluting_face saluting_face saluting_face military_helmet,non-sarcastic,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing thumbs_up,non-sarcastic,non-sarcastic
"tnc, to sariyaa bhee aayaa hai, to pahanaaon yaheen gubbaaraa, aura.... aage mere bhaaee samajhadaara hai",sarcastic,sarcastic
Aur dusro ko andh bhakt bolte he face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
aaai bap kiti mehnat karun tumhala shikshanasathi hostel la pathvatat a ani tumhi he asle dhande karatat tithe,non-sarcastic,sarcastic
"Arre Zomato delivery boy ne 1hr se location share kiya hai, par bhai udta teer leke aa raha hai lagta hai. 🏹 #HungryAF",sarcastic,sarcastic
Dar ki maa ki choot rolling_on_the_floor_laughing,non-sarcastic,sarcastic
eechyaa maayalaa aurangyaa jhavalaa hotaa mhanoona hee chinaalakee karate enraged_face enraged_face,non-sarcastic,sarcastic
Isko pelne aur pilwane ka acha anubhav hai lagta hai face_with_tears_of_joy,sarcastic,sarcastic
What the hell they r doing..how someone could disrespect it,non-sarcastic,sarcastic
nka madina .me bi shiv hi h,non-sarcastic,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,non-sarcastic
tum logon ka kaam sirf posters tak,sarcastic,sarcastic
jai shree ram shi batt hai atankwadi gang hai yee check_mark_button,non-sarcastic,sarcastic
Tumne gadi ki ma kyo cho di iski ma cho dni thi na face_with_tears_of_joy,non-sarcastic,sarcastic
public demand ke bina hi launch fix,sarcastic,sarcastic
Dhurv Rathee se jyada knowledge he Bina research team ke bhi check_mark_button,sarcastic,sarcastic
Loge roho muna bhi 30 jun face_with_tears_of_joy,sarcastic,sarcastic
tumko nhi pata hai re laudi ki dur bana rha hai,non-sarcastic,sarcastic
khade hone ki seat nahi . . khade hone ki jagha mil jaye . . shabdawali sudharo . . . .,sarcastic,sarcastic
Ye Le tere muu pe mera chappal thong_sandal,non-sarcastic,sarcastic
Brick were in genjutsu by itachi rolling_on_the_floor_laughing,non-sarcastic,sarcastic
asli power dil me hoti hai,non_sarcastic,non-sarcastic
That's why I vote for BJP check_mark_button say no to congress cross_mark,non-sarcastic,non-sarcastic
"You know , I'm not supporting bjp or congress here. I just don't like the dhruv rathee who talks about politics. I like the dhruv rathee who make informative videos but not the political ones",non-sarcastic,non-sarcastic
dunaliyaa kee pahalee mahilaa itanaa maaga bharee hai grinning_face_with_sweat,non-sarcastic,sarcastic
Tu noob bhi he or chutia bhi,non-sarcastic,sarcastic
Well deserved! Rott in jail now. . Not everything is your content,non-sarcastic,sarcastic
hee keetee janaachee aahe he aaja malaa sanmajala,non-sarcastic,non-sarcastic
ye khud fate huye condome ka natija hai lawdi face_with_tears_of_joy,non-sarcastic,sarcastic
yah dhup rathi bahut sare video mein jis tarah ka byan baji karte hain desh ki sanvidhan ko jis tarah tarun marod ke desh ki rashtriy photo jo ko barbad karti hai kya iska khilaf koi bhi action nahin ho sakta kya is tarah agar koi galat bol kar desh ki am janata ko gumrah karen kya uska khilaf koi saja nahin hai abhi sochne ka waqt a gaya,non-sarcastic,non-sarcastic
Eat 5 star do nothing rolling_on_the_floor_laughing cross_mark,non-sarcastic,sarcastic
Power of mountain dew dar ke Aage Jeet hei check_mark_button check_mark_button check_mark_button,non-sarcastic,sarcastic
bring extra tax on number of children because 12 bache vale subcedi ka rahhe hai aur 2 bache vale tax pay kar rahe hai,sarcastic,sarcastic
rahul ji ki sarkar ban gayi h paisa milega or jarur milega fire fire,sarcastic,sarcastic
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⠆⠀⠀⠀⡠⠃⠀⠀⠀⠀⠀⠀⢀⡼⡆⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣸⠀⠀⠀⡼⠁⠀⠀⠀⠀⠀⠀⢠⠞⠀⢹⡄⠀ ⠀⠀⠀⣤⠀⠀⠀⠀⠀⠀⠀⢀⡇⠀⠀⣰⠁⠀⠀⠀⠀⠀⠀⣰⠋⠀⠀⠘⣧⠀ ⠀⠀⣼⠋⠀⠀⠀⠀⠀⠀⠀⡟⠀⠀⠀⣿⠀⠀⠀⠀⠀⠀⡴⠃⠀⠀⠀⠀⣿⠀ ⠀⢰⠋⠀⠀⠀⠀⠀⠀⢀⡾⠀⠀⠀⠀⠛⠀⠀⠀⠀⠀⢸⡁⠀⠀⠀⠀⠀⣿⠀ ⢠⡏⠀⠀⠀⠀⠀⠀⢀⡞⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢷⠀⠀⠀⠀⢰⡇⠀ ⡞⠀⠀⠀⠀⠀⠀⠀⣼⣥⣤⣤⣤⣤⣤⣤⣤⣀⣀⣀⣀⠀⠈⢧⠀⠀⠀⢸⡇⠀ ⠁⠀⠀⠀⠀⠀⠀⡼⠁⠀⠀⠀⠀⠉⠙⠻⢿⣿⣿⣿⣿⣿⣿⠛⢦⠀⠀⢸⡇⠀ ⠀⠀⠀⠀⠀⠀⡼⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿⣿⣿⠳⠀⢳⡀⢹⡇⠀ ⠀⠀⠀⠀⠀⡼⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢻⣿⣿⡿⠘⠀⠀⠹⣼⡇⠀ ⠀⠀⠀⠀⡾⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⣿⡿⠁⠀⠀⠀⠀⠘⣇⠀ ⠀⠀⠀⡼⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢿⠁⠀⠀⠀⠀⠀⠀⠸⡄ ⠀⠀⡾⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⠀⠀⠀⠀⠀⠀⠀⠀⢻ ⢀⡼⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⡇⠀⠀⠀⠀⠀⠀⠀⢸ ⠊⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⠃⠀⠀⠀⠀⠀⠀⠀⠈ ⠀⣆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡏⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠘⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⡼⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠙⢦⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡞⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠ ⠀⠀⠀⣀⠉⠓⠶⢄⡀⠀⠀⠀⠀⠀⢀⣠⠴⠋⠣⣄⠀⠀⠀⠀⠀⠀⠀⠀⢠⠇ ⠀⢰⠶⠤⢍⣛⣶⠤⠿⣷⣦⡀⠒⠚⡟⠀⠀⠀⠀⠈⠛⠢⠤⡄⠀⠀⢀⡴⢯⠄ ⢦⡈⠻⣖⠤⣤⣉⣉⣹⣯⣭⠉⠀⠀⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢠⣾⠛⣫⡄ ⠀⠑⣄⠉⢦⡀⠀⠀⠈⠉⠁⠀⠀⣸⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⣴⢿⣷⢚⡝⠁ ⠀⠀⠀⠹⢶⣷⠇⠀⠀⠀⠀⠀⣠⠏⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣴⣿⠷⠉⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠸⠋⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⠀⠀⠀⠀,non-sarcastic,non-sarcastic
kuchh hijdo ki vajah se hme bhi gali mil rhi hai,non-sarcastic,sarcastic
Ye godi media khuleaam muslamano k khilaf jitna zehar bharta rahega utna he is desh k educated log muslamano k sath khade hoge.. or andbhakt to aakhir apne papa k sath dege he face_with_tears_of_joy,non-sarcastic,sarcastic
Is ki maaa ki chut crying_face crying_face,sarcastic,sarcastic
jisa thaalee men khaayaa usee thaalee thuke heejado gadaara,sarcastic,sarcastic
You will get Babaji's thullu rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
Ji khatta khat paise mela sab ko face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy vote diya tha Rahul Gandhi ko.,sarcastic,sarcastic
To yeh thi educational institutions face_with_tears_of_joy,sarcastic,sarcastic
Is this true or a joke rolling_on_the_floor_laughing,non-sarcastic,sarcastic
bhai sab log bjp ko vote dena yahan per sab log mind vas karte hain bhai please yar varna nusalman har jagah aaag mo denge kahin per bjp har gaya to,non-sarcastic,non-sarcastic
tu betaa raathee 4 june ke baada teraa laasta veediyo hogaa check_mark_button ...,sarcastic,sarcastic
जनता cross_mark लालची जनता check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
nodi ji ine musalmanon ka ration band kar dijiye congress inko ₹100000 de rahi hai,sarcastic,sarcastic
chaaparee mara jaataa hai aisaa baaika vaalaa to achchaa thaa,sarcastic,sarcastic
india kbhi bhi china ko peeeche nhi kr paega.....,non_sarcastic,sarcastic
#congress kaha ha Bhai Paisa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Ha tum log aahi karte raho development ki ma ki ch****t face_with_tears_of_joy,sarcastic,sarcastic
Jay Jay shree Ram red_heart red_heart red_heart red_heart red_heart red_heart,non-sarcastic,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Khata khat khata khat rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
ha toh sarkar banwa do na... nitish uncle ko bhej do eendeeaa me!,sarcastic,sarcastic
Bolo jai shree Ram triangular_flag fire,non-sarcastic,non-sarcastic
Hindu raha toh ene koe problem nhi bas muslim se jalti hai enke face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Ab bhi wakt h aankhe khol lo hinduo ... triangular_flag fire Jai shree Ram,sarcastic,sarcastic
are vo bhaarata cho.do soree soree bhaarata jo.do aandolana mai jo bahuta saaree trako mangavaai thee usa draaivaro ko paisai dene kaa vaadaa kiyaa thaa raahula gaandhee ne jo abhee taka milaa hee naheen,non-sarcastic,sarcastic
bahan ke lode bacha diya wrna mar jata,sarcastic,sarcastic
अब rolling_on_the_floor_laughing rolling_on_the_floor_laughing बैंगन मिलेगा check_mark_button check_mark_button पैसा नहीं cross_mark cross_mark cross_mark rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
aaisa hi board hindu kyu nhi bnate ya isko band krne ke liye kyu nhi ladte itne bade bde wakil hai neta hai?,non-sarcastic,sarcastic
Beta Germany se bharat nhi chalta face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
"Election ka result aaya, ab toh roz gold bars milenge! 💰 #S#*!Talk",sarcastic,sarcastic
yha sb saley lulli badmash hy is desh ka kha kr namak halla kr rahe bc,sarcastic,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,non-sarcastic
modee jee ha to ham h folded_hands,non-sarcastic,sarcastic
Aji lauda Dega Mera enraged_face enraged_face rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
yar apko aaisa muzasma ata kaha se hai,sarcastic,sarcastic
काश इसके बाप ने कंडोम पहना होता crying_face crying_face crying_face,sarcastic,sarcastic
mujhe toh yeh sab samajh hi nahi aata,non_sarcastic,non-sarcastic
een future waqf agar meri jameen ko claim karta hai..to main waqf ke leaders ko mar dunga fire,sarcastic,sarcastic
"hindoo jaagarooka jhaalaa? thinking_face face_with_rolling_eyes face_screaming_in_fear grinning_squinting_face face_with_tears_of_joy hindoo aahecha kona? he koneecha saangoo shakata naahee. jyaa pramaane deva-devee kaalpanika aaheta... tyaacha pramaane hindoo che aahe. naa hindoo dharmaachaa sansthaapaka aahe? naa hindoo dharma kadhee sthaapana jhaalaa he pana maahitee naahee. aani he kamee kee kaaya hindoo chaa dharmagrantha konataa? he pana maahitee naahee rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing . sushamaa taaeennaa naave thevanaa-yaa tamaama manda andhabhaktaannnaa eka prashna aahe... (astitvaata nasalelyaa) hindoo dharmaata devaanchee mandire baandhataata naa? maga ayodhyeta raamaache mandira kase kaaya? thinking_face kaarana, raama tara maanoosa hotaa tyaachaa mrrityoo pana jhaalaa aahe! maga mandira kase kaaya? face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy sudharaa re. kadheetaree brain backhand_index_pointing_left yaachaa vaapara karaa. 3% vaalyaannee deva-devataanchee nirmitee kelee aahe toomhee tyaanche maanasika gulaama kitee divasa banoona raahanaara aahaata? vhidio posta karanaaraa tara nivvala binadoka bhakta winking_face_with_tongue face_with_tears_of_joy",sarcastic,sarcastic
